ID,PosX,PosY,PosZ,RotX,RotY,Rotz,ScaleX,ScaleY,ScaleZ
NewMoveGround (7),-4.9111,8.42,57.409,0,0,0,6.042632,0.9999997,6.004584,0,-9,0,3.5
NewMoveGround (12),-0.73578,11.818,67.492,0,0,0,6.878794,0.560311,0.8709112,0,0,9,4
Wall (5),-7.6262,8.845,64.631,0,0,0,0.6124547,0.6899134,8.270563
Temp,-0.73,1.91,-5.698649,0,0,0,1,1,1
Cube (1),-0.829,0,44.693,0,0,0,14.2068,0.9999982,19.42767
Player,-0.79,2.43,-5.79,0,0,0,1,1,1
Ballon (1),-3.939205,0.999999,36.50489,0,0,0,1,1,1
NewMoveGround (11),-0.73578,11.818,61.986,0,0,0,6.878794,0.560311,0.8709112,0,0,9,4
NewMoveGround (6),0.51956,0.89,57.395,0,0,0,0.5757478,0.9999997,6.004584,0,9,0,3.5
NewMoveGround (1),2.642,-2.026,21.11,0,0,0,0.876326,0.6485366,25.50222,0,5.5,0,2
NewMoveGround (10),-0.746,11.34,64.739,0,0,0,6.858346,0.396652,6.377092,0,0,9,4
Wall (1),-7.6262,0.845,44.683,0,0,0,0.6124547,0.6899134,19.41173
Sango (1),0.2153468,8.999999,65.00616,0,0,0,1,1,1
DeadZone,-0.83,-1.97,37.79,0,0,0,41.19016,0.9999981,103.74
Wall (6),5.9682,8.845,64.657,0,0,0,0.6124547,0.6899134,8.270563
Wall (4),-0.8283,0.845,-7.4965,0,0,0,12.98326,0.6899135,0.8519289
NewMoveGround (2),-4.9896,-2.026,21.11,0,0,0,0.876326,0.6485366,25.50222,0,5.5,0,2
NewMoveGround (8),-2.1781,9.42,57.409,0,0,0,0.5757478,0.9999997,6.004584,0,-9,0,3.5
Wall (2),5.9682,0.845,-0.028,0,0,0,0.6124544,0.6899134,15.78433
NewMoveGround (3),-0.858,1.25,39.53,0,0,0,12.873,1.49229,0.9918935,0,0,10,3.5
NewMoveGround (5),5.986,0.89,57.395,0,0,0,0.5757478,0.9999997,6.004584,0,9,0,3.5
Ballon,0.03,0.9999991,6.316568,0,0,0,0.5,0.5,0.5
Sango,-0.1441913,1.09,36.95,0,0,0,1,1,1
Ballon (2),-2.26,9,65.15,0,0,0,1,1,1
Sango (2),5.61,11.968,72.98,0,0,0,1,1,1
Cube,-0.829,0,0,0,0,0,14.20677,0.9999982,15.84452
Wall,5.9682,0.845,44.686,0,0,0,0.6124547,0.6899134,19.41173
Cube (2),-0.829,8,64.644,0,0,0,14.20681,0.9999983,8.29627
Wall (3),-7.6262,0.845,-0.03,0,0,0,0.6124544,0.6899134,15.78433
NewMoveGround (4),3.253,-0.11,57.395,0,0,0,6.042632,0.9999997,6.004584,0,9,0,3.5
NewMoveGround,-1.174,-2.85,21.11,0,0,0,8.507501,0.9999993,25.5022,0,5.5,0,2
Cube (3),6.139,10.978,73.78,0,0,0,5.136986,0.9999993,6.772706
NewMoveGround (9),-7.64454,9.42,57.409,0,0,0,0.5757478,0.9999997,6.004584,0,-9,0,3.5
